"Protein.Group","S_19_1","S_P1R2_3","S_19_3","C_P1R2_2","C_90_1","C_64Y_3","S_90_2","C_64_3","C_64_1","S_64Y_1","S_64Y_2","S_60_2","C_19_1","C_60_1","S_90_1","C_P1R2_3","S_64Y_2_2","C_90_2","S_60_3","S_64_1","C_90_3","S_90_2_2","S_64_2","C_P1R2_1","S_64_3","S_19_2","C_60_3","C_60_2","S_P1R2_2","C_64Y_2","C_64Y_1","C_19_2","C_64_2","S_60_1","C_19_3","S_P1R2_1"
"Montipora_capitata_HIv3___RNAseq.21256_t",18.1587557460022,NA,NA,18.0418322439125,NA,18.2507370363233,NA,NA,17.9572094931515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.21532_t",19.6958585604628,19.4224979169159,19.7011639801568,18.0725134035361,19.3499670114496,20.0916529653292,NA,19.6701506269142,19.3762678340888,19.8278896375123,NA,18.9096901399801,NA,19.3676825579264,NA,17.5403284993674,19.0005885765367,NA,NA,NA,18.9461247186059,19.6529776511956,18.510823192005,NA,NA,NA,19.1132886268078,18.4519043164175,NA,NA,NA,19.1833305256185,18.9526799360644,19.4086702581178,NA,NA
"Montipora_capitata_HIv3___RNAseq.21563_t;Montipora_capitata_HIv3___RNAseq.g45042.t1;Montipora_capitata_HIv3___RNAseq.g45050.t1a",19.273095113608,19.5633215110717,18.6234276390305,NA,NA,19.5833870823621,17.4969429875652,NA,NA,18.8286536789653,NA,19.327855631507,18.4682494027144,18.753230523668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5376327807869,NA,NA,NA,NA,17.8206091410317,NA,19.6654596445012,NA,NA,19.5288939019884,NA
"Montipora_capitata_HIv3___RNAseq.21580_t;Montipora_capitata_HIv3___RNAseq.g45056.t1;Montipora_capitata_HIv3___TS.g46191.t3;Montipora_capitata_HIv3___TS.g46192.t3;Montipora_capitata_HIv3___TS.g46194.t1",21.7163664007717,21.9080692270813,21.9559216734047,21.8285090961774,22.0062029587761,21.7293275078455,22.0355039027963,21.5351949143104,20.770365573476,21.9567055618864,21.8248345648484,22.4618377434026,19.9327385712901,NA,21.4258632033263,21.004327808972,21.5390271958434,21.2981606209987,21.4364748031135,20.6562535438942,NA,21.6828630306232,20.7356981445842,22.2556727703725,21.0983479541461,21.9597017531275,22.2009285300016,NA,20.6923391258105,21.6566305287861,NA,21.795555670251,21.3793529815889,21.6877936310532,22.3122154649432,21.4024208796557
"Montipora_capitata_HIv3___RNAseq.21923_t",NA,19.0879399433921,NA,NA,20.4016770524306,NA,19.271490099612,NA,NA,NA,20.7271256628482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6741106774374,NA,NA
"Montipora_capitata_HIv3___RNAseq.22661_t",26.6250870845612,26.5793602522199,25.9354084173773,26.7053603926844,25.3121890082374,26.2268196290486,26.6345685736305,26.1188211797495,25.9768929707042,25.8894866957786,24.6797953453339,24.7690353405164,26.1411722793374,25.8494943464633,26.7507355029225,25.0480306447583,25.2125428425188,26.0152506734703,26.0699582585949,26.4523365203378,26.7660190895961,26.8197985414306,25.8299720740187,26.1442247473988,26.0884400191616,26.5418007662237,24.569705906865,24.7168675952316,26.7151346003386,26.2942829310354,25.2950992238624,26.1539583113673,26.3410673131855,25.0203000847672,25.4401933288457,26.0143806508298
"Montipora_capitata_HIv3___RNAseq.23137_t",24.3003763021946,22.2921432645212,23.2819881633795,23.2291878877099,22.1910337544014,23.7398032670524,23.319988891668,23.3783410328377,23.7221580696983,22.8746448422135,22.5547023118551,23.01591283949,24.4200346049979,23.3453469031007,23.1905829302316,22.2832660070651,22.4452518298465,23.9771641718026,22.6144140878788,23.0086852414422,23.1762352506021,23.2026132016923,24.0485605423984,22.9589755835071,23.8853973645157,23.6229063044182,22.0077787486436,22.5673482626744,23.1950828919888,23.3453186103348,23.4622511282784,24.2446245650471,23.526931271349,22.6254027354631,23.8895632845112,23.8544802609349
"Montipora_capitata_HIv3___RNAseq.23161_t",24.5585595627332,23.9401485907932,23.5368340118585,24.3192071039685,23.0104207113537,23.872790497877,24.2511265344853,23.9929165598586,23.8178501494314,23.6489842008354,22.5929910862263,23.6635596242801,24.4046100474511,23.7159579068373,24.4233126579104,22.7934365158047,23.8403929071589,24.300230074022,23.62769718352,24.7209464404652,24.7017425993958,24.5635403038,24.4523759880076,23.7472999401741,24.4278848012439,24.5275408386424,22.8732722164333,23.2036589631106,25.0954556176953,24.2365507464339,23.2940927422238,24.0455427145842,24.4093257997791,22.9676256623729,24.4727815560891,24.5280411405322
"Montipora_capitata_HIv3___RNAseq.23327_t",23.8063353435383,23.9543639781802,22.9204199175061,24.0213648214798,23.1541705268981,24.0423757790368,24.5296301239976,23.713132658913,23.8661859333752,23.3465180615213,22.4672647315505,23.3443786773517,22.8545525484276,23.4094025904444,23.7772208955161,23.3485917433829,23.2099949814108,22.982127207262,23.9440956775944,23.2386101380476,23.7265934103761,24.2464792359288,23.4085359007115,23.4136839630106,23.1974341893552,22.7457770940487,22.749163688892,23.4082505602625,23.6998792104194,22.6955080438385,22.5825249389952,23.2021096213223,23.4938933087806,23.0260450120063,22.4542670335798,23.578806969807
"Montipora_capitata_HIv3___RNAseq.23511_t",21.8435772216802,22.4117047996932,23.973687382896,23.0006276001468,24.0452060658742,21.7091136899629,NA,21.5008439457211,NA,20.7063175781653,NA,NA,NA,20.4728472354915,NA,22.2788995892749,20.673157330227,20.6231983152067,22.6075703004282,21.3952059342965,NA,NA,20.9753568919025,22.0998017405723,NA,22.8637457073651,21.7427915254051,21.02550728496,NA,22.1149091395012,NA,22.500991608025,NA,21.6320282631045,NA,NA
